date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:50:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:20:52%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_slider2.jpg?v=1602902313	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_slider2e70a.jpg	(from https://porto-demo13.myshopify.com/)
08:50:52	36345/36345	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jul%202022%2003:37:40%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_slider1.jpg?v=1602902310	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_slider10ee1.jpg	(from https://porto-demo13.myshopify.com/)
08:50:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:20:53%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_banner1.jpg	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_banner1.jpg	(from https://porto-demo13.myshopify.com/)
08:50:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:20:53%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_banner2.jpg	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_banner2.jpg	(from https://porto-demo13.myshopify.com/)
08:50:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:20:53%20GMT	http://cdn.shopify.com/s/files/1/1632/5913/files/shop1_payment_logo.png	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1632/5913/files/shop1_payment_logo.68.delayed	(from https://porto-demo13.myshopify.com/)
08:50:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:20:53%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_banner3.jpg	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_banner3.jpg	(from https://porto-demo13.myshopify.com/)
08:50:55	32390/32390	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jul%202022%2003:37:41%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_slider2.jpg?v=1602902313	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/files/shop13_home_slider2e70a.jpg	(from https://porto-demo13.myshopify.com/)
08:50:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:20:54%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/newsletter_bg_image.jpg?v=74521398101016578541640001851	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/newsletter_bg_imageaa27.jpg	(from https://porto-demo13.myshopify.com/)
08:50:57	23691/23691	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Jul%202022%2003:38:31%20GMT	https://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/newsletter_bg_image.jpg?v=74521398101016578541640001851	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/newsletter_bg_imageaa27.jpg	(from https://porto-demo13.myshopify.com/)
08:50:57	125760/125760	U-----	200	untouched ('OK')	text/html	etag:cacheable:c45d9a8f6a676af6bc828053ced1332f	https://porto-demo13.myshopify.com/collections/best-selling-products	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/best-selling-products.html	(from https://porto-demo13.myshopify.com/)
08:50:58	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:20:57%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/newsletter_logo.png?v=54434485954821869401640001852	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/newsletter_logo.6c9adc.delayed	(from https://porto-demo13.myshopify.com/)
08:50:58	164382/164382	U-----	200	untouched ('OK')	text/html	etag:cacheable:a5530acec957408d56dc2c85c913b430	https://porto-demo13.myshopify.com/collections/featured-products/products/men-gentle-shoes	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/featured-products/products/men-gentle-shoes.html	(from https://porto-demo13.myshopify.com/)
08:50:58	43755/43755	U-----	200	untouched ('OK')	text/html	etag:cacheable:e6f507658ce3849cedaaaea378cae43e	https://porto-demo13.myshopify.com/products/men-gentle-shoes?view=quickview	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/products/men-gentle-shoes95b3.html	(from https://porto-demo13.myshopify.com/)
08:50:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2002%20Jul%202022%2003:20:58%20GMT	http://cdn.shopify.com/s/files/1/1613/0177/t/28/assets/theme-scripts.js?v=137552514658993020401640001878	C:/My%20Web%20Sites/shopify/new/cdn.shopify.com/s/files/1/1613/0177/t/28/assets/theme-scriptse62a.js	(from https://porto-demo13.myshopify.com/)
08:50:59	152287/152287	U-----	200	untouched ('OK')	text/html	etag:cacheable:10b212351279e1702f9a801780daaa6f	https://porto-demo13.myshopify.com/collections/featured-products	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/featured-products.html	(from https://porto-demo13.myshopify.com/)
08:50:59	152604/152604	U-----	200	untouched ('OK')	text/html	etag:cacheable:facc892ab4cc1c195b2da549ec5dbb27	https://porto-demo13.myshopify.com/collections/featured-products/products/porto-gray-cap	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/collections/featured-products/products/porto-gray-cap.html	(from https://porto-demo13.myshopify.com/)
08:50:59	27397/27397	U-----	200	untouched ('OK')	text/html	etag:cacheable:686f09136478b4894302158362ccaa01	https://porto-demo13.myshopify.com/products/porto-gray-cap?view=quickview	C:/My%20Web%20Sites/shopify/new/porto-demo13.myshopify.com/products/porto-gray-cap95b3.html	(from https://porto-demo13.myshopify.com/)
